Name,Link,Rating,Enroll,Instructor,Time,Level,Fee,Program,Subtitle,Subject,Organization,Knowledge,Programing Language,Tool,Platform,Framework,Knowledge_P,Programing Language_P,Tool_P,Platform_P,Framework_P
Create a Drag & Drop File Uploader For Websites,https://www.udemy.com/course/create-a-udemy-style-drag-drop-file-uploader-for-websites/,4.5,278,Stone River eLearning,2 hours on-demand video,,100,,English,Web Development,,"drag and drop api, technical description, json, ajax",,,,,,,,,
Free Web Development Tutorial - Getting Started as a Web Developer,https://www.udemy.com/course/refactoru-getting-started-as-a-web-developer/,4.1,58.762,RefactorU LLC,58min,,100,,English,Web Development,,"common commands, backup systems, code management system, source control, command line, source code control, web development, version control",,,,,,,,,
Free Web Design Tutorial - Work Online As A Web Developer,https://www.udemy.com/course/starting-a-web-design-business/,4.7,13.951,Junaid Afzaal,1hr 7min,,100,,English,Web Design,,"web development, web design",,,,,,,,,
Android - professional mobile development,https://www.udemy.com/course/android-become-a-professional-mobile-developer/,3.6,446,Educativo Courses,13 hours on-demand video,,100,,English,Mobile Development,,mobile application,,,,,,java,,,
Beginning Selenium WebDriver and Java Training,https://www.udemy.com/course/beginning-webdriver-and-java/,3.2,285,Martin Lienhard,3.5 hours on-demand video,,100,,English,Software Testing,,"test automation, ajax, xpath, unit test, css selectors, webdriverwait",,,,,,java,,,
How to Wake Up Students With Web Technology,https://www.udemy.com/course/how-to-wake-up-students-with-web-technology/,3.9,3.844,Sharon LaVigne,1.5 hours on-demand video,,100,,English,Teacher Training,,"virtual assistants,  virtual assistant, web-technology, virtual assistant, web technology",,,,,,,,,
Free Twitter Marketing Tutorial - Bootstrap 4 crash course by building Single Page Website,https://www.udemy.com/course/create-single-page-website-using-twitter-bootstrap/,4,15.301,Jay Mayu,1hr 16min,,100,,English,Web Development,,"responsive single page, rapid development",,,,,,,,,
Learn to Setup Websites from Scratch,https://www.udemy.com/course/learn-to-setup-websites-from-scratch/,4.1,28.852,"Eduonix Learning Solutions,Eduonix-Tech .",3.5 hours on-demand video,,100,,English,Web Development,,"domain name, ftp, webhosting, web hosting",,,,,,,,,
Web Analytics,https://www.udemy.com/course/web-analytics2/,4,178,The Art Of Service,2.5 hours on-demand video,,100,,English,Business Analytics & Intelligence,,"internet, web analytics, web site traffic, affiliate, web-based analytics, referral marketing, internet ",,,,,,,,,
Free Java Tutorial - ZK Web And Mobile Apps From Scratch Using Java,https://www.udemy.com/course/zk-webmobile-apps/,3.9,5.482,Sleiman Al-Bacha,1hr 31min,,100,,,Mobile Development,,"mobile applications, ria, ajax, rich internet application",,,,,,,,,
"Free Web Development Tutorial - How To Start A Website for Writers, Artists & Creative Types",https://www.udemy.com/course/how-to-start-a-website-for-writers-artists-creative-types/,4.6,24.22,Baker Lawley,55min,,100,,English,Web Development,,"hosting, domain name, site address",,,,,,,,,
Complete Apache HTTP Server Course,https://www.udemy.com/course/apache-web-server-administration/,3.9,3.311,Mohamed Khalil,3 hours on-demand video,,100,,English,Network & Security,,"virtual hosts, logging, troubleshooting, linux administration, directory structure, aliases and redirecting, web servers, web server administration, security, web server, http, http protocol, performance, webserver administration",,,,,,,,linux,
Free Web Design Tutorial - Web design: ???? ????? ????? ????????,https://www.udemy.com/course/web-design-course-ali-hamdi/,5,26.552,Ali Hamdi,4hr 53min,,100,,,Web Design,,web design,,,,,,,,,
Android Hacking And Penetration Testing,https://www.udemy.com/course/android-hacking-and-penetration-testing/,3.8,2.376,Js Infosec,8 hours on-demand video,,100,,English,Mobile Development,,"android app reversing, penetration testing, malware analysis, wireless security, android hacking, security, android application pentesting, android security, android security model, web application, forensics, exploitation, android mobile applications, reversing android applications, android architecture, android application, android malware",,,,,,,,,
Free CSS Tutorial - Build Your First Website in 1 Week with HTML5 and CSS3,https://www.udemy.com/course/build-your-first-website-in-1-week/,4.5,236.193,Ryan Bonhardt,2hr 57min,,100,,English,Web Development,,responsive design,,,,,,,,,
